
01 createUDB       06 uvSort          11 uhex$           D = Defined in
02 unpack          07 usymTabVal      12 uDRPN           U = Used in
03 udecode         08 ubuildSrc       13 ureadInitDB     P = Received as a parameter
04 ulSort          09 udsSort         14 ureadLins
05 udefVars        10 uinstruction    15 ureadVars

unpack total variables: 189 (not including record variables and fields)
      passed as parameters: 27
      unique variables: 117 (so far)

  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
common variables | 65 Variables  21 Parameters                                              | 
145 gapSize(20)  |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | INTEGER size of gap in an unidentified entry in the
                 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   description area
146 gapCnt       |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | INTEGER gaps counter
147 dsMCnt       |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | INTEGER DMap entries counter
148 typCnt       |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | INTEGER TYPE statemment counter
149 cntr2        |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | INTEGER general counter
150 tRec         |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | INTEGER comparison value
151 tSiz         |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | INTEGER parent record variable value
152 tVar         |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | INTEGER parent record token value
153 nextOff      |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | REAL loop counter, not sure why it's a REAL
154 gapOff(20)   |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | REAL offset of gap in a type variable
155 endOfType    |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | BOOLEAN end of type variable flag
156 tStrLen      |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | STRING temporary string variable length string
                 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   (7 characters)
157 typName      |    |    |    |    |    |    |    | DU |    |    |    |    |    |    |    | STRING TYPE variable name string (7 characters)
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
udsSort          | 08 Variables (7 Common)  01 Unique  05 Parameter Variables (4 Common)    | 
158 DSMaps(100)  |    |    |    |    |    |    |    |    | DUP|    |    |    |    |    |    | DSMP Passed by ubuildSrc as DSMap
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
uinstruction     | 43 Variables  05 Unique  08 Parameter Variables (Common)                 | 
159 varCnt       |    |    |    |    |    |    |    |    |    | DU |    |    |    |    |    | INTEGER variable record counter
160 lrCnt        |    |    |    |    |    |    |    |    |    | DU |    |    |    |    |    | INTEGER line reference records counter
161 filCnt       |    |    |    |    |    |    |    |    |    | DU |    |    |    |    |    | REAL file pointer
162 hasLines     |    |    |    |    |    |    |    |    |    | DU |    |    |    |    |    | BOOLEAN this module has line numbers
163 tokenName    |    |    |    |    |    |    |    |    |    | DU |    |    |    |    |    | STRING variable name token string (29 characters)
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
uhex$            | 08 Variables (2 Common)  06 Unique  02 Parameter Variables (Common)      | 
164 index        |    |    |    |    |    |    |    |    |    |    | DU |    |    |    |    | INTEGER counter
165 hex_index    |    |    |    |    |    |    |    |    |    |    | DU |    |    |    |    | INTEGER counter for DATA read
166 bit          |    |    |    |    |    |    |    |    |    |    | DU |    |    |    |    | INTEGER mask integer
167 bit_result   |    |    |    |    |    |    |    |    |    |    | DU |    |    |    |    | INTEGER result of LAND
168 hex_result   |    |    |    |    |    |    |    |    |    |    | DU |    |    |    |    | INTEGER result of nybble
169 hex_bit      |    |    |    |    |    |    |    |    |    |    | DU |    |    |    |    | STRING hex value string character (1 character)
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
  Variable Name  | 01 | 02 | 03 | 04 | 05 | 06 | 07 | 08 | 09 | 10 | 11 | 12 | 13 | 14 | 15 | Description and Notes
================ | == | == | == | == | == | == | == | == | == | == | == | == | == | == | == | =========================================================
uDRPN            | 10 Variables (2 Common)  08 Unique  01 Parameter Variable                | 
170 place        |    |    |    |    |    |    |    |    |    |    |    | DU |    |    |    | INTEGER pointer to current character in inline
171 length       |    |    |    |    |    |    |    |    |    |    |    | DU |    |    |    | INTEGER length of inline
172 cnt          |    |    |    |    |    |    |    |    |    |    |    | DU |    |    |    | INTEGER counter variable
173 parse        |    |    |    |    |    |    |    |    |    |    |    | DU |    |    |    | BOOLEAN for determining need of parsing
174 char         |    |    |    |    |    |    |    |    |    |    |    | DU |    |    |    | STRING current character of inline (1 characters)
175 templine(10) |    |    |    |    |    |    |    |    |    |    |    | DU |    |    |    | STRING work array for line parsing (400 characters)
